"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","threshold"
"980","RNVU1-1",23.3553499400581,2.65662907261231,0.901408892840676,2.9471964318438,0.00320669431712485,0.0571154610446389,FALSE
"981","RNVU1-15",36.2615742511958,2.07176577663773,0.746906859809223,2.77379401384385,0.00554067483555284,0.0780853097275284,FALSE
"982","RNVU1-2A",25.8479960256675,1.0645775044215,0.723733447971183,1.4709524720818,0.141303970684009,0.468038415177912,FALSE
"2270","RNVU1-31",29.7566613842904,2.97293753796661,0.776321395056229,3.82951900707475,0.000128393966671107,0.00757524403359532,TRUE
"3677","RNVU1-17",9.77854930157481,2.65684583906566,1.13926164393167,2.33207696688242,0.0196966425147702,NA,NA
"3678","RNVU1-27",2.83667299335961,-1.15177312132027,1.60394840846573,-0.718086139953846,0.472704175550214,NA,NA
"3679","RNVU1-8",11.657761150292,1.63042948605507,1.08243380684688,1.50626253147479,0.131999792609989,NA,NA
"4597","RNVU1-28",23.3132749478099,1.66893647764479,0.678237074438593,2.46069780102517,0.0138667110923792,0.128955603324934,FALSE
"4954","RNVU1-7",15.6749942493444,1.06372940399174,0.862293565993575,1.2336047095122,0.217350237257969,NA,NA
"5533","RNVU1-3",2.72947190301255,1.21414387826008,1.69486565161292,0.716365853012972,0.473765474015234,NA,NA
