"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","threshold"
"552","SNORD115-23",7.58278471903248,0.730410344248957,0.991067708819916,0.736993383750412,0.461126372878213,NA,FALSE
"553","SNORD59A",2.5411398586028,0.326018371444506,1.55323227639813,0.209896727230345,0.83374827662807,NA,FALSE
"727","SNORD100",5.3766847681905,0.970852916276582,1.15373189092528,0.841489191650901,0.400073937528144,NA,FALSE
"728","SNORD127",2.70920274527391,-0.054989668392578,1.64557364676149,-0.0334167167180869,0.973342279093999,NA,FALSE
"1511","SNORA28",4.5262552453958,-0.975056934955286,1.32653438335783,-0.735040830594338,0.462314627837981,NA,FALSE
"1512","SNORA73B",28.9303463732532,-0.545963093996543,0.89322149926046,-0.611229235356036,0.541047831391848,0.819801428954274,FALSE
"1513","SNORD115-25",2.31612338223492,-0.30273893617729,1.92811206741941,-0.157013143215517,0.875234489794613,NA,FALSE
"1514","SNORD115-33",3.57641658688193,0.264949965270014,1.47586482721178,0.179521837220392,0.857527972229148,NA,FALSE
"1515","SNORD14E",9.87710254585244,1.2108380264431,0.914897256793955,1.32346885669567,0.18567950645644,NA,NA
"2342","SNORA14B",29.9466177755045,4.4432432314431,0.884953811581021,5.02087586187689,5.14363950852277e-07,0.000242779784802275,TRUE
"2343","SNORD104",12.2111687230401,0.152413266836901,0.797013382853892,0.191230498904736,0.848345009844495,NA,FALSE
"2344","SNORD115-38",4.90600150820466,0.504395244202674,1.3163586547186,0.383174632836292,0.701590285376712,NA,FALSE
"3783","SNORA33",4.52419570506647,3.06462214579422,1.75073984911147,1.75047260582408,0.0800367971181599,NA,NA
"3784","SNORA77",10.2336034287389,1.60097380415413,0.975606366571651,1.64100385053868,0.100796615897606,NA,NA
"3785","SNORA80E",16.1914387099846,0.0225473549648988,0.819638607467891,0.0275088981405528,0.978053842844438,NA,FALSE
"3786","SNORD115-40",3.9508573158412,1.06106582106344,1.42520641084295,0.744499753152151,0.456574190496988,NA,NA
"3787","SNORD12C",6.3981714025176,-0.0838223528462751,1.0289595124398,-0.0814632177776567,0.935073575584711,NA,FALSE
"3788","SNORD46",2.35254180439504,1.694950817883,1.82934891809538,0.926532276657037,0.354169431379248,NA,NA
"3789","SNORD66",9.00155827407135,-0.188107834538306,0.945793755436249,-0.19888885230749,0.842349689884373,NA,FALSE
"4485","SNORA3B",13.2101666013068,1.13602056344634,0.863921541111676,1.31495802498978,0.188524009857984,NA,NA
"4486","SNORD13",6.80018585775394,-0.754400121726087,1.00437295625081,-0.751115526389883,0.452583132360896,NA,FALSE
"4752","SNORA72",16.6287445650592,2.55722858396377,0.937374871116497,2.72807460788647,0.0063705197682465,NA,NA
"4967","SNORD67",5.95683174769419,0.972614217574604,1.1552664556981,0.841896008299557,0.399846164869988,NA,FALSE
"4968","SNORD71",4.26643581672915,0.53884784528583,1.30898503666243,0.411653174172069,0.680593651049226,NA,FALSE
"5228","SNORA54",25.2576532500118,3.44713614628111,0.948625560038137,3.6338217010962,0.000279253876309388,0.0109839858015026,TRUE
"5229","SNORD90",6.30500812847063,0.0648589123029223,1.04423877207592,0.0621111895452652,0.95047428623608,NA,FALSE
"5558","SNORA12",17.6813322618738,3.59711317932477,1.08927354653228,3.30230472481062,0.000958938315169393,0.0275326163021366,TRUE
"5559","SNORA19",13.1190302768269,2.10272603546163,1.00125885253009,2.10008234149264,0.0357215984019652,NA,NA
"5560","SNORA23",6.39195269956054,1.44130252937361,1.17620887850394,1.22537973969968,0.220432176894255,NA,NA
"5561","SNORD115-30",3.47783881612648,-1.42154237124589,1.46974097865765,-0.967206053235464,0.333441036744436,NA,NA
"5562","SNORD94",4.83294711698263,2.24507592936639,1.5353428314433,1.46226359571817,0.143668990342032,NA,NA
"5934","SNORA20",9.00088100148898,1.6903860236249,1.05824890242306,1.59734257201159,0.110189366045494,NA,NA
"5935","SNORA2B",3.22100178649815,0.0586958749093058,1.5325109288185,0.0383004609008288,0.969448123311652,NA,FALSE
"5936","SNORA66",3.97184624344735,0.34553463902243,1.31682367384029,0.262400081261251,0.793013010037103,NA,FALSE
"5937","SNORA74A",5.56382499521328,1.5179567170211,1.17953731700665,1.28690859978323,0.198126147486395,NA,NA
"5938","SNORD113-9",2.76221208700742,0.91730426642578,1.53425065391644,0.597884227120389,0.549917184988147,NA,FALSE
"5939","SNORD15B",3.64770169495586,1.08015941822283,1.3750238751829,0.785556845752332,0.432127154822616,NA,NA
"5940","SNORD17",1.96319177465486,-1.16847957572027,1.99256935551276,-0.586418521637646,0.557594300662405,NA,NA
"6218","SNORA11",4.69682606826971,5.53839201566471,1.91083881095184,2.89840879509135,0.00375061376476285,NA,NA
"6219","SNORA50A",6.10217885872284,5.93879784441363,1.77252907073625,3.3504656947301,0.000806758016526267,NA,NA
"6220","SNORA63C",3.01513526104002,1.79134482607681,1.63311257922316,1.09688998105012,0.272689488970917,NA,NA
"6221","SNORA65",11.8844051392655,2.44223876194694,1.01043301172404,2.41702194367134,0.0156480737426539,NA,NA
"6222","SNORA71B",3.55595402990335,1.59302172573508,1.49966427587576,1.06225223295714,0.288121193096787,NA,NA
