"","x"
"1","SNORA14B"
"2","AL355075.4"
"3","GFAP"
"4","TAF1D"
"5","RNVU1-31"
"6","SNORA54"
"7","SNORA12"
"8","MT-TI"
"9","AHNAK"
"10","SNHG12"
